collected_at,rank,name,appid,player_count
2026-02-20T02:00:01,8,"HELLDIVERS™ 2",553850,59579
2026-02-20T02:00:01,9,"Overwatch®",2357570,63268
2026-02-20T02:00:01,10,"Geometry Dash",322170,35116
2026-02-20T02:15:01,1,"Counter-Strike 2",730,812546
2026-02-20T02:15:01,2,"Dota 2",570,505517
2026-02-20T02:15:01,3,"PUBG: BATTLEGROUNDS",578080,272195
2026-02-20T02:15:01,4,"Wallpaper Engine",431960,80145
2026-02-20T02:15:01,5,"ARC Raiders",1808500,106139
2026-02-20T02:15:01,6,Terraria,105600,66481
2026-02-20T02:15:01,7,"Apex Legends™",1172470,90539
2026-02-20T02:15:01,8,"HELLDIVERS™ 2",553850,57621
2026-02-20T02:15:01,9,"Overwatch®",2357570,63268
2026-02-20T02:15:01,10,"Geometry Dash",322170,35116
2026-02-20T02:30:01,1,"Counter-Strike 2",730,834638
2026-02-20T02:30:01,2,"Dota 2",570,505517
2026-02-20T02:30:01,3,"PUBG: BATTLEGROUNDS",578080,272195
2026-02-20T02:30:01,4,"Wallpaper Engine",431960,81142
2026-02-20T02:30:01,5,"ARC Raiders",1808500,95017
2026-02-20T02:30:01,6,Terraria,105600,65851
2026-02-20T02:30:01,7,"Apex Legends™",1172470,90539
2026-02-20T02:30:01,8,"HELLDIVERS™ 2",553850,57621
2026-02-20T02:30:01,9,"Overwatch®",2357570,58450
2026-02-20T02:30:01,10,"Geometry Dash",322170,34856
2026-02-20T02:45:02,1,"Counter-Strike 2",730,857125
2026-02-20T02:45:02,2,"Dota 2",570,518387
2026-02-20T02:45:02,3,"PUBG: BATTLEGROUNDS",578080,286456
